"year","crop","area","production","yield","prop_area"
1961,"Dry peas",1176.809,1049.58,0.8919,0.00779753797139378
1961,"Eggplants (aubergines)",150,990,6.6,0.000993900195961338
1961,"Figs",0.9,2,2.2222,5.96340117576803e-06
1961,"Fruit, citrus nes",2,25,12.5,1.32520026128178e-05
1961,"Fruit, fresh nes",130,780,6,0.00086138016983316
1961,"Fruit, stone nes",NA,0.5,NA,NA
1961,"Fruit, tropical fresh nes",225,1475,6.5556,0.00149085029394201
1961,"Garlic",35,130,3.7143,0.000231910045724312
1961,"Ginger",21,19,0.9048,0.000139146027434587
1961,"Grapefruit (inc. pomelos)",1.3,20,15.3846,8.6138016983316e-06
1961,"Grapes",4.4,70,15.9091,2.91544057481993e-05
1961,"Groundnut",6889,4994,0.7249,0.0456465229998511
1961,"Jute",917,1144.4,1.248,0.00607604319797698
1961,"Lemons and limes",36,415,11.5278,0.000238536047030721
1961,"Lentils",791.149,358.666,0.4533,0.00524215430756411
1961,"Lettuce and chicory",55,250,4.5455,0.000364430071852491
1961,"Linseed",1789,398,0.2225,0.0118539163371656
1961,"Maize",4507,4312,0.9567,0.029863387887985
1961,"Mangoes, mangosteens, guavas",850,6988,8.2212,0.00563210111044758
1961,"Melons, other (inc.cantaloupes)",9.5,130,13.6842,6.29470124108847e-05
1961,"Millet",18657.008,7725,0.4141,0.123621359381682
1961,"Mushrooms and truffles",NA,0.5,NA,NA
1961,"Nutmeg, mace and cardamoms",50,3,0.06,0.000331300065320446
1961,"Okra",150,775,5.1667,0.000993900195961338
1961,"Onions",120,1200,10,0.000795120156769071
1961,"Oranges",54,752,13.9259,0.000357804070546082
1961,"Other oilseeds",477,100,0.2096,0.00316060262315706
1961,"Other pulses",3592,1450,0.4037,0.0238005966926208
1961,"Papayas",6,228,38,3.97560078384535e-05
1961,"Peaches and nectarines",10,43,4.3,6.62600130640892e-05
1961,"Pears",6.1,33,5.4098,4.04186079690944e-05
1961,"Peas, green",60,550,9.1667,0.000397560078384535
1961,"Pepper (piper spp.)",103,28,0.2718,0.000682478134560119
1961,"Pigeonpea",2433,2066,0.8492,0.0161210611784929
1961,"Pineapples",6.97,76,10.9039,4.61832291056702e-05
1961,"Plums and sloes",3,11,3.6667,1.98780039192268e-05
1961,"Poppy seed",NA,1,NA,NA
1961,"Potato",375,2719,7.2507,0.00248475048990335
1961,"Pumpkins, squash and gourds",125,815,6.52,0.000828250163301115
